"id";"symbol";"price";"time"
334;"XRPUSDT";0.3239;1655136801304
335;"C98USDT";0.435;1655133286803
336;"REEFUSDT";0.003309;1655136787553
337;"TRXUSDT";0.06715;1655136794091
338;"SKLUSDT";0.05168;1655136801916
339;"TRXBUSD";0.062458;1655133325348
340;"QTUMUSDT";2.808;1655136794272
341;"IOTXUSDT";0.02511;1655136802164
342;"ONTUSDT";0.2165;1655136787183
343;"KSMUSDT";45.07;1655135234237
344;"ICXUSDT";1.0288;1642392702068
345;"1000XECUSDT";0.03939;1655136638009
346;"CELOUSDT";0.914;1655136795013
347;"SXPUSDT";0.3418;1655136793961
348;"LINKUSDT";5.872;1655136751327
349;"DGBUSDT";0.02812;1650239020073
350;"DARUSDT";0.2774;1655132616519
351;"RSRUSDT";0.0175;1645480455083
352;"COMPUSDT";37.13;1655136794970
353;"SUSHIUSDT";1.017;1655136801729
354;"YFIUSDT";5085.9;1655136794483
355;"BNBUSDT";230.638;1655136803006
356;"NKNUSDT";0.244;1652273268065
357;"DOGEBUSD";0.177;1642578366157
358;"LPTUSDT";32.122;1642801648245
359;"DEFIUSDT";555.3;1655136794434
360;"ALICEUSDT";5.613;1651015152016
361;"DENTUSDT";0.000935;1655136794814
362;"CTKUSDT";1.241;1652272371028
363;"OCEANUSDT";0.20136;1655136794065
364;"FTMBUSD";0.2325;1655136802729
365;"ATOMUSDT";6.484;1655136801491
366;"FTMUSDT";0.2326;1655136796690
367;"MTLUSDT";1.6264;1655136775756
368;"ENSUSDT";24.819;1645574401903
369;"BTCDOMUSDT";1769.1;1655125234623
370;"BLZUSDT";0.16902;1651978495064
371;"FTTBUSD";25.152;1655136638687
372;"XRPBUSD";0.7656;1645195272063
373;"GTCUSDT";7.5;1645574401905
374;"OPUSDT";0.5808;1655136776251
375;"BTSUSDT";0.00806;1655136787463
376;"ANTUSDT";1.227;1655134083535
377;"ENJUSDT";0.4558;1655136801823
378;"BATUSDT";0.2744;1655136794226
379;"DOGEUSDT";0.056;1655136796639
380;"TRBUSDT";30.11;1642403940321
381;"CVCUSDT";0.13626;1655136796844
382;"DASHUSDT";43.18;1655136801057
383;"ARPAUSDT";0.02812;1655136752029
384;"BNBBUSD";216.0;1655128914622
385;"ONEUSDT";0.067;1652272928076
